PURITY
+-----------+----+----------------+--------------------+--------------------+--------------------+--------------------+
|  Method   | k  |    dataset     |        lda         |      skipgram      |       tfidf        |     consensus      |
| NCFwR#80  | 3  | 20Newsgroup:3  | 1.0425790754257909 | 1.0663625051845707 |        1.0         | 1.0194290245836637 |
| NCFwR#80  | 3  |   BBCSport:3   | 1.1451247165532878 |        1.0         | 1.041237113402062  |        1.01        |
| NCFwR#80  | 3  |  Reuters-R8:3  | 1.025825825825826  | 1.2458059810357405 | 1.0088600118133493 |        1.0         |
| NCFwR#80  | 3  |    WebKB:3     | 1.003610108303249  | 1.227373068432671  | 1.008708272859216  |        1.0         |
| NCFwR#80  | 6  | 20Newsgroup:6  | 1.0826977117623444 | 1.0082242990654204 | 1.060558395595753  |        1.0         |
| NCFwR#80  | 6  |   BBCSport:6   | 1.3939393939393938 | 1.2522686025408345 |        1.0         | 1.050228310502283  |
| NCFwR#80  | 6  |  Reuters-R8:6  | 1.0198075834748161 | 1.1227414330218068 |        1.0         | 1.028538812785388  |
| NCFwR#80  | 6  |    WebKB:6     |        1.0         | 1.0341976700488538 | 1.0169992609016998 | 1.0076894910289271 |
| NCFwR#80  | 12 | 20Newsgroup:12 | 1.011811023622047  | 1.0214626391096975 | 1.0515548281505727 |        1.0         |
| NCFwR#80  | 12 |  BBCSport:12   | 1.3517786561264822 | 1.0347957639939487 |        1.0         | 1.0239520958083834 |
| NCFwR#80  | 12 | Reuters-R8:12  | 1.0469798657718123 | 1.104424778761062  |        1.0         | 1.0458100558659216 |
| NCFwR#80  | 12 |    WebKB:12    | 1.0196078431372548 | 1.056910569105691  |        1.0         | 1.0430342815463165 |
| NCFwR#80  | 24 | 20Newsgroup:24 |        1.0         | 1.012383900928792  | 1.2218589444184962 | 1.0053804765564949 |
| NCFwR#80  | 24 |  BBCSport:24   | 1.2998102466793164 | 1.0178306092124814 |        1.0         | 1.019345238095238  |
| NCFwR#80  | 24 | Reuters-R8:24  | 1.0362637362637368 | 1.070374574347333  |        1.0         | 1.032293377120964  |
| NCFwR#80  | 24 |    WebKB:24    |        1.0         | 1.095588235294118  | 1.0351005484460696 | 1.017247574559828  |
| NCFwR#80  | 48 | 20Newsgroup:48 | 1.0097451274362819 | 1.0235562310030402 | 1.171304347826087  |        1.0         |
| NCFwR#80  | 48 |  BBCSport:48   | 1.2564102564102566 | 1.0043923865300144 |        1.0         | 1.0088235294117642 |
| NCFwR#80  | 48 | Reuters-R8:48  | 1.0269687162891048 | 1.0929965556831227 |        1.0         | 1.0225563909774433 |
| NCFwR#80  | 48 |    WebKB:48    |        1.0         | 1.0762871101089817 | 1.0437317784256563 | 1.049084249084249  |
| NCFwR#100 | 3  | 20Newsgroup:3  | 1.0376278118609408 | 1.1346153846153846 |        1.0         | 1.1469258589511755 |
| NCFwR#100 | 3  |   BBCSport:3   | 1.1425339366515839 |        1.0         | 1.0181451612903225 | 1.0059760956175299 |
| NCFwR#100 | 3  |  Reuters-R8:3  | 1.0283018867924527 | 1.244825124910778  |        1.0         | 1.0092592592592593 |
| NCFwR#100 | 3  |    WebKB:3     | 1.018874773139746  | 1.2559284116331095 |        1.0         | 1.0210985813022915 |
| NCFwR#100 | 6  | 20Newsgroup:6  | 1.048080808080808  | 1.0228706624605677 |  1.01885310290652  |        1.0         |
| NCFwR#100 | 6  |   BBCSport:6   | 1.402439024390244  | 1.197916666666667  |        1.0         | 1.2321428571428572 |
| NCFwR#100 | 6  |  Reuters-R8:6  | 1.007357102433503  | 1.130876747141042  | 1.0005621135469367 |        1.0         |
| NCFwR#100 | 6  |    WebKB:6     |        1.0         | 1.202603036876356  | 1.0343283582089553 | 1.021370670596905  |
| NCFwR#100 | 12 | 20Newsgroup:12 | 1.0188235294117651 | 1.0471584038694077 | 1.0870292887029291 |        1.0         |
| NCFwR#100 | 12 |  BBCSport:12   | 1.3656126482213438 |  1.04066265060241  |        1.0         | 1.0176730486008838 |
| NCFwR#100 | 12 | Reuters-R8:12  | 1.0418994413407818 | 1.0977045320776926 |        1.0         |  1.0207991242474   |
